#Digilent WaveForms Oscilloscope Acquisition,,
#Device Name: Discovery2,,
#Serial Number: SN:210321A1A159,,
#Date Time: 2021-04-06 15:43:00.687,,
#Sample rate: 4000Hz,,
#Samples: 8000,,
#Trigger: Source: Channel 2 Type: Edge Condition: Rising Level: 200 mV Hyst.: Auto HoldOff: 0 s,,
#Channel 2: Range: 500 mV/div Offset: -1 V,,
#Math 1: Function: -1*C1,,
,,
Time (s),Channel 2 (V),Math 1 (V)
-0.2,1.031452267,-14.07659534
-0.19975,1.034810839,-14.06314496
-0.1995,1.034810839,-14.05641978
-0.19925,1.041527984,-14.05305718
-0.199,1.041527984,-14.03960681
-0.19875,1.041527984,-14.01270606
-0.1985,1.038169412,-13.9420916
-0.19825,1.034810839,-13.89165269
-0.198,1.038169412,-13.87820232
-0.19775,1.034810839,-13.86475195
-0.1975,1.034810839,-13.85466417
-0.19725,1.038169412,-13.84457638
-0.197,1.034810839,-13.82776342
-0.19675,1.034810839,-13.81431304
-0.1965,1.038169412,-13.79750008
-0.19625,1.034810839,-13.7874123
-0.196,1.038169412,3.33155132
-0.19575,1.038169412,3.341639101
-0.1955,1.038169412,3.355089475
-0.19525,1.038169412,3.361814662
-0.195,1.038169412,3.365177256
-0.19475,1.034810839,3.375265036
-0.1945,1.034810839,3.385352817
-0.19425,1.034810839,3.392078004
-0.194,1.041527984,3.402165784
-0.19375,1.038169412,3.408890971
-0.1935,1.031452267,3.439154313
-0.19325,1.031452267,3.449242094
-0.193,1.028093694,3.455967281
-0.19275,1.028093694,3.452604687
-0.1925,1.028093694,3.442516907
-0.19225,1.028093694,3.435791719
-0.192,1.028093694,3.425703939
-0.19175,1.028093694,3.429066532
-0.1915,1.028093694,3.449242094
-0.19125,1.028093694,3.459329874
-0.191,1.024735122,3.472780248
-0.19075,1.024735122,3.479505435
-0.1905,1.021376549,3.496318403
-0.19025,1.018017977,3.540032119
-0.19,1.011300831,3.607283989
-0.18975,1.011300831,3.62745955
-0.1895,1.011300831,3.644272518
-0.18925,1.011300831,3.661085485
-0.189,1.011300831,3.667810672
-0.18875,1.011300831,3.681261047
-0.1885,1.011300831,3.694711421
-0.18825,1.011300831,3.704799201
-0.188,1.011300831,3.718249575
-0.18775,1.011300831,3.724974762
-0.1875,1.011300831,3.745150323
-0.18725,1.011300831,3.758600697
-0.187,1.011300831,3.765325885
-0.18675,1.011300831,3.768688478
-0.1865,1.011300831,3.785501446
-0.18625,1.007942259,3.8090396
-0.186,1.004583686,3.822489974
-0.18575,1.007942259,3.835940348
-0.1855,1.007942259,3.852753316
-0.18525,1.014659404,3.849390723
-0.185,1.021376549,3.849390723
-0.18475,1.024735122,3.846028129
-0.1845,1.024735122,3.835940348
-0.18425,1.028093694,3.822489974
-0.184,1.031452267,3.819127381
-0.18375,1.031452267,3.8090396
-0.1835,1.031452267,3.8090396
-0.18325,1.034810839,3.825852568
-0.183,1.031452267,3.842665536
-0.18275,1.034810839,3.852753316
-0.1825,1.041527984,3.852753316
-0.18225,1.041527984,3.86620369
-0.182,1.044886557,3.886379251
-0.18175,1.041527984,3.953631122
-0.1815,1.038169412,4.004070025
-0.18125,1.041527984,4.017520399
-0.181,1.041527984,4.030970773
-0.18075,1.041527984,4.044421147
-0.1805,1.041527984,4.054508927
-0.18025,1.038169412,4.071321895
-0.18,1.038169412,4.088134863
-0.17975,1.038169412,4.10494783
-0.1795,1.041527984,4.121760798
-0.17925,1.041527984,4.131848578
-0.179,1.041527984,4.145298952
-0.17875,1.041527984,4.158749326
-0.1785,1.038169412,4.172199701
-0.17825,1.038169412,4.185650075
-0.178,1.038169412,4.202463042
-0.17775,1.034810839,4.21927601
-0.1775,1.034810839,4.22936379
-0.17725,1.038169412,4.236088977
-0.177,1.034810839,4.252901945
-0.17675,1.031452267,4.2764401
-0.1765,1.031452267,4.28652788
-0.17625,1.028093694,4.28652788
-0.176,1.028093694,4.28652788
-0.17575,1.028093694,4.279802693
-0.1755,1.028093694,4.269714913
-0.17525,1.031452267,4.273077506
